Experiment,Session,Market,Period,LastPrice,Fundamental,VWAP_Buy,VWAP_Sell,VWAP_Overall,CloseDrift,CloseDrift_Pct,TotalVolume,Candidates_Sell,Candidates_Buy,Candidate_SubjectIDs_Sell,Candidate_SubjectIDs_Buy
Choice A,1,4.0,10,192.56,144,195.33181818181814,195.32999999999996,195.33090909090905,-2.7709090909090435,-1.4185717477101556,22,0,0,[],[]
Choice A,1,4.0,11,107.31,120,111.95916666666666,111.96,111.95958333333333,-4.649583333333325,-4.152912323271411,24,0,0,[],[]
Choice A,1,4.0,12,102.59,96,107.74,107.74125000000001,107.740625,-5.150624999999991,-4.780578356585542,16,0,0,[],[]
Choice A,1,4.0,13,77.28,72,71.3425,71.3425,71.3425,5.9375,8.32252864701966,16,0,1,[],[np.int64(10)]
Choice A,1,4.0,14,37.06,48,25.764,25.762,25.762999999999998,11.297000000000004,43.849706944067094,10,0,1,[],[np.int64(5)]
Choice A,1,4.0,15,34.95,24,22.28,22.28,22.28,12.670000000000002,56.867145421903054,24,0,0,[],[]
Choice A,1,5.0,1,372.83,360,368.94,368.94,368.94,3.8899999999999864,1.054371984604539,8,1,1,[np.int64(10)],[np.int64(8)]
Choice A,1,5.0,2,339.74,336,342.35999999999996,342.3616666666666,342.36083333333335,-2.620833333333337,-0.765517862489139,12,1,0,[np.int64(8)],[]
Choice A,1,5.0,3,306.62,312,306.62,306.62,306.62,0.0,0.0,2,1,1,[np.int64(9)],[np.int64(9)]
Choice A,1,5.0,4,307.45,288,312.2425,312.2425,312.2425,-4.792500000000018,-1.5348647285363197,8,1,0,[np.int64(11)],[]
Choice A,1,5.0,5,296.71,264,304.5883333333333,304.58750000000003,304.5879166666667,-7.877916666666692,-2.5864179882382157,24,1,0,[np.int64(1)],[]
Choice A,1,5.0,6,276.35,240,279.8377777777778,279.8377777777778,279.8377777777778,-3.487777777777751,-1.2463570163666156,18,1,1,[np.int64(4)],[np.int64(2)]
Choice A,1,5.0,7,249.69,216,244.25266666666667,244.25666666666666,244.25466666666665,5.435333333333347,2.225273075642368,30,0,0,[],[]
Choice A,1,5.0,8,228.94,192,226.9433333333333,226.94666666666663,226.94499999999996,1.995000000000033,0.879067615501568,6,1,0,[np.int64(12)],[]
Choice A,1,5.0,9,215.75,168,213.33454545454543,213.33545454545455,213.335,2.414999999999992,1.1320224060749486,22,1,0,[np.int64(6)],[]
Choice A,1,5.0,10,204.59,144,196.24599999999998,196.2465,196.24624999999997,8.343750000000028,4.251673598858592,40,0,0,[],[]
Choice A,1,5.0,11,151.70000000000002,120,154.3777777777778,154.3788888888889,154.37833333333336,-2.6783333333333417,-1.7349153054724915,18,1,0,[np.int64(8)],[]
Choice A,1,5.0,12,74.89,96,69.74615384615387,69.74538461538462,69.74576923076924,5.144230769230759,7.375688627377438,26,0,0,[],[]
Choice A,1,5.0,13,73.23,72,72.56166666666667,72.56166666666667,72.56166666666667,0.6683333333333366,0.9210556538117047,12,1,1,[np.int64(4)],[np.int64(9)]
Choice A,1,5.0,14,30.64,48,25.51,25.513333333333335,25.511666666666667,5.128333333333334,20.101914156921673,12,0,1,[],[np.int64(6)]
Choice A,1,5.0,15,22.63,24,25.008000000000003,25.009999999999998,25.009,-2.3790000000000013,-9.512575472829786,10,1,1,[np.int64(1)],[np.int64(2)]
Choice A,2,1.0,1,391.39,360,391.39,391.39,391.39,0.0,0.0,2,1,1,[np.int64(3)],[np.int64(3)]
Choice A,2,1.0,2,435.76,336,435.76,435.76,435.76,0.0,0.0,2,1,1,[np.int64(1)],[np.int64(1)]
Choice A,2,1.0,3,457.26,312,457.26,457.26,457.26,0.0,0.0,2,1,1,[np.int64(12)],[np.int64(12)]
Choice A,2,1.0,4,533.84,288,533.84,533.84,533.84,0.0,0.0,2,1,1,[np.int64(12)],[np.int64(12)]
Choice A,2,1.0,5,,264,0.0,0.0,0.0,0.0,0.0,0,0,0,[],[]
Choice A,2,1.0,6,531.25,240,531.25,531.25,531.25,0.0,0.0,2,1,1,[np.int64(5)],[np.int64(5)]
Choice A,2,1.0,7,425.32,216,425.32,425.32,425.32,0.0,0.0,2,1,1,[np.int64(12)],[np.int64(12)]
Choice A,2,1.0,8,279.7,192,279.37600000000003,279.37300000000005,279.3745,0.3254999999999768,0.11651027563359462,20,1,0,[np.int64(3)],[]
Choice A,2,1.0,9,359.23,168,359.23,359.23,359.23,0.0,0.0,2,1,1,[np.int64(6)],[np.int64(1)]
Choice A,2,1.0,10,297.12,144,291.3383333333333,291.34,291.33916666666664,5.780833333333362,1.984228004588019,12,1,0,[np.int64(1)],[]
Choice A,2,1.0,11,357.02,120,348.6983333333333,348.695,348.6966666666667,8.323333333333267,2.38698391151811,12,1,1,[np.int64(10)],[np.int64(9)]
Choice A,2,1.0,12,213.96,96,209.69454545454548,209.69272727272727,209.6936363636364,4.2663636363636215,2.0345699136835917,22,1,0,[np.int64(10)],[]
Choice A,2,1.0,13,64.51,72,57.47,57.467499999999994,57.46875,7.041250000000005,12.252311038607948,8,0,1,[],[np.int64(3)]
Choice A,2,1.0,14,62.07,48,62.276153846153846,62.27692307692309,62.276538461538465,-0.20653846153846445,-0.33164730513405316,26,0,0,[],[]
Choice A,2,1.0,15,29.99,24,20.931875000000005,20.93,20.930937500000002,9.059062499999996,43.2807297809761,32,0,1,[],[np.int64(12)]
Choice A,2,2.0,1,393.12,360,393.12,393.12,393.12,0.0,0.0,2,1,1,[np.int64(10)],[np.int64(10)]
Choice A,2,2.0,2,401.71,336,401.71,401.71,401.71,0.0,0.0,2,1,1,[np.int64(7)],[np.int64(7)]
Choice A,2,2.0,3,433.87,312,433.87,433.87,433.87,0.0,0.0,2,1,1,[np.int64(7)],[np.int64(7)]
Choice A,2,2.0,4,460.1,288,460.1,460.1,460.1,0.0,0.0,2,1,1,[np.int64(1)],[np.int64(1)]
Choice A,2,2.0,5,381.94,264,377.555,377.555,377.555,4.384999999999991,1.1614201904358281,16,1,0,[np.int64(5)],[]
Choice A,2,2.0,6,421.04,240,419.94,419.94,419.94,1.1000000000000227,0.26194218221651255,4,1,0,[np.int64(8)],[]
Choice A,2,2.0,7,441.72,216,444.4082352941176,444.40882352941173,444.4085294117647,-2.688529411764648,-0.6049680043997543,34,1,0,[np.int64(7)],[]
Choice A,2,2.0,8,276.56,192,270.4907692307692,270.4861538461539,270.4884615384616,6.07153846153841,2.2446571018243153,26,1,0,[np.int64(11)],[]
Choice A,2,2.0,9,293.49,168,298.4822222222222,298.47888888888895,298.4805555555556,-4.990555555555602,-1.6719868221455114,18,1,0,[np.int64(5)],[]
Choice A,2,2.0,10,358.97,144,359.87800000000004,359.87760000000003,359.8778,-0.907799999999952,-0.2522522923058749,50,0,0,[],[]
Choice A,2,2.0,11,196.3,120,181.6585714285714,181.66071428571428,181.65964285714284,14.64035714285717,8.059223783881569,56,0,0,[],[]
Choice A,2,2.0,12,198.41,96,191.7927272727273,191.79181818181817,191.79227272727275,6.617727272727251,3.450466058211642,44,1,0,[np.int64(11)],[]
Choice A,2,2.0,13,9.25,72,10.686363636363636,10.682272727272727,10.684318181818183,-1.434318181818183,-13.424517666078161,44,0,0,[],[]
Choice A,2,2.0,14,55.27,48,45.07769230769231,45.08076923076923,45.07923076923077,10.190769230769234,22.606351210688878,26,0,1,[],[np.int64(7)]
Choice A,2,2.0,15,18.13,24,17.077142857142857,17.080000000000002,17.07857142857143,1.0514285714285698,6.15641990798828,14,0,1,[],[np.int64(2)]
Choice A,2,3.0,1,378.25,360,378.08500000000004,378.08500000000004,378.08500000000004,0.16499999999996362,0.043640980202854805,4,1,1,[np.int64(12)],[np.int64(6)]
Choice A,2,3.0,2,380.5,336,3.0500000000000114,380.5,191.775,188.725,98.40959457697822,2,1,1,[np.int64(6)],[np.int64(10)]
Choice A,2,3.0,3,360.51,312,360.48,360.48,360.48,0.029999999999972715,0.008322237017302683,4,1,1,[np.int64(11)],[np.int64(12)]
Choice A,2,3.0,4,360.29,288,364.07076923076926,364.07230769230773,364.07153846153847,-3.781538461538446,-1.038680056540025,26,1,0,[np.int64(7)],[]
Choice A,2,3.0,5,382.27,264,382.27,382.27,382.27,0.0,0.0,2,1,1,[np.int64(11)],[np.int64(10)]
Choice A,2,3.0,6,400.86,240,389.5984615384615,389.5976923076922,389.5980769230769,11.261923076923097,2.8906516084130147,26,0,0,[],[]
Choice A,2,3.0,7,221.75,216,221.996,221.998,221.997,-0.2470000000000141,-0.11126276481214345,20,1,0,[np.int64(3)],[]
Choice A,2,3.0,8,212.82,192,212.105,212.105,212.105,0.7150000000000034,0.33709719242828007,4,1,1,[np.int64(7)],[np.int64(6)]
Choice A,2,3.0,9,242.22,168,233.55666666666664,233.55666666666664,233.55666666666664,8.663333333333355,3.7093068063425108,12,1,0,[np.int64(6)],[]
Choice A,2,3.0,10,265.86,144,259.31437500000004,259.315625,259.31500000000005,6.544999999999959,2.523957349169912,32,1,0,[np.int64(1)],[]
Choice A,2,3.0,11,129.28,120,131.84875,131.84875,131.84875,-2.5687499999999943,-1.9482551029114756,16,1,0,[np.int64(4)],[]
Choice A,2,3.0,12,94.86,96,91.7525,91.75125,91.751875,3.108125000000001,3.3875329523238635,16,0,1,[],[np.int64(11)]
Choice A,2,3.0,13,66.57000000000001,72,74.3677777777778,74.36555555555556,74.36666666666669,-7.796666666666681,-10.484087852980743,18,0,1,[],[np.int64(7)]
